"","strata_nm","grov_nm","plots_per_strata_by_grv"
"107","SE_W-under5-Moderate-many","Giant Forest",0
"108","SE_W-over5-Low-many","Giant Forest",13
"109","SE_W-over5-Unburned-none","Giant Forest",3
"110","NW_E-under5-Low-one","Granite Creek",0
"111","SE_W-under5-Low-one","Homers Nose",0
"112","SE_W-under5-Moderate-one","Homers Nose",0
"113","SE_W-under5-High-one","Homers Nose",2
"114","NW_E-over5-Unburned-none","Horse Creek",1
"115","SE_W-over5-Unburned-none","Horse Creek",0
"116","SE_W-under5-Unburned-none","Little Redwood Meadow",0
"117","SE_W-under5-Low-one","Little Redwood Meadow",0
"118","SE_W-under5-Low-one","Lost",1
"119","SE_W-under5-Unburned-none","Lost",9
"120","SE_W-over5-Unburned-none","Lost",2
"121","NW_E-under5-Low-one","Muir",1
"122","NW_E-under5-Moderate-one","Muir",0
"123","NW_E-under5-Low-many","Muir",0
"124","NW_E-under5-Unburned-none","Muir",0
"125","SE_W-under5-Low-one","Muir",0
"126","SE_W-under5-Moderate-one","Muir",1
"127","SE_W-under5-High-one","Muir",0
"128","SE_W-under5-Low-many","Muir",1
"129","SE_W-under5-Unburned-none","Muir",2
"130","NW_E-under5-Moderate-one","New Oriole Lake",0
"131","SE_W-under5-Low-one","New Oriole Lake",1
"132","SE_W-under5-Moderate-one","New Oriole Lake",0
"133","SE_W-under5-High-one","New Oriole Lake",0
"134","NW_E-under5-Low-one","Oriole Lake",0
"135","NW_E-under5-Moderate-one","Oriole Lake",0
"136","NW_E-under5-High-one","Oriole Lake",0
"137","NW_E-under5-Unburned-none","Oriole Lake",0
"138","SE_W-under5-Low-one","Oriole Lake",3
"139","SE_W-under5-Moderate-one","Oriole Lake",0
"140","SE_W-under5-Unburned-none","Oriole Lake",0
"141","NW_E-under5-Low-one","Pine Ridge",1
"142","NW_E-under5-Moderate-one","Pine Ridge",0
"143","NW_E-under5-Unburned-none","Pine Ridge",0
"144","SE_W-under5-Low-one","Pine Ridge",0
"145","SE_W-under5-Moderate-one","Pine Ridge",0
"146","SE_W-under5-Unburned-none","Pine Ridge",0
"147","NW_E-under5-Low-many","Redwood Creek",0
"148","NW_E-under5-Unburned-none","Redwood Creek",0
"149","NW_E-over5-Unburned-none","Redwood Creek",0
"150","SE_W-under5-Low-many","Redwood Creek",0
"151","SE_W-under5-Unburned-none","Redwood Creek",0
"152","SE_W-under5-Moderate-many","Redwood Creek",0
"153","SE_W-under5-High-many","Redwood Creek",1
"154","SE_W-over5-Low-many","Redwood Creek",0
"155","NW_E-under5-Low-one","Redwood Meadow",2
"156","NW_E-under5-Unburned-none","Redwood Meadow",1
"157","NW_E-over5-Low-one","Redwood Meadow",0
"158","NW_E-over5-Moderate-one","Redwood Meadow",0
"159","SE_W-under5-Low-one","Redwood Meadow",10
"160","SE_W-under5-Moderate-one","Redwood Meadow",2
"161","SE_W-under5-Low-many","Redwood Meadow",0
"162","SE_W-under5-Unburned-none","Redwood Meadow",7
"163","NW_E-under5-Low-one","Redwood Mountain",0
"164","NW_E-under5-Moderate-one","Redwood Mountain",0
"165","NW_E-under5-High-one","Redwood Mountain",3
"166","NW_E-under5-Low-many","Redwood Mountain",4
"167","NW_E-under5-Unburned-none","Redwood Mountain",1
"168","NW_E-under5-Moderate-many","Redwood Mountain",2
"169","NW_E-under5-High-many","Redwood Mountain",4
"170","SE_W-under5-Low-one","Redwood Mountain",0
"171","SE_W-under5-Moderate-one","Redwood Mountain",0
"172","SE_W-under5-High-one","Redwood Mountain",17
"173","SE_W-under5-Low-many","Redwood Mountain",2
"174","SE_W-under5-Unburned-none","Redwood Mountain",2
"175","SE_W-under5-Moderate-many","Redwood Mountain",3
"176","SE_W-under5-High-many","Redwood Mountain",14
"177","NW_E-under5-Low-many","Sequoia Creek",2
"178","NW_E-over5-Low-many","Sequoia Creek",5
"179","SE_W-under5-Low-many","Sequoia Creek",2
"180","SE_W-over5-Low-many","Sequoia Creek",0
"181","NW_E-under5-Low-one","Skagway",1
"182","NW_E-under5-Unburned-none","Skagway",0
"183","SE_W-under5-Low-one","Skagway",0
"184","SE_W-under5-Moderate-one","Skagway",0
"185","SE_W-under5-Low-many","Skagway",1
"186","SE_W-under5-Unburned-none","Skagway",0
"187","SE_W-under5-High-many","Skagway",0
"188","NW_E-under5-Unburned-none","South Fork",0
"189","NW_E-under5-Low-one","South Fork",2
"190","NW_E-under5-Moderate-one","South Fork",1
"191","NW_E-under5-High-one","South Fork",0
"192","SE_W-under5-Low-one","South Fork",0
"193","SE_W-under5-Moderate-one","South Fork",0
"194","SE_W-under5-High-one","South Fork",0
"195","SE_W-under5-Unburned-none","South Fork",0
"196","NW_E-under5-Moderate-one","Squirrel Creek",0
"197","SE_W-under5-Low-one","Squirrel Creek",0
"198","SE_W-under5-Moderate-one","Squirrel Creek",0
"199","NW_E-under5-Low-one","Surprise",0
"200","NW_E-under5-Moderate-one","Surprise",0
"201","SE_W-under5-Low-one","Surprise",0
"202","SE_W-under5-Moderate-one","Surprise",0
"203","SE_W-under5-High-one","Surprise",0
"204","NW_E-under5-Low-many","Suwanee",3
"205","NW_E-under5-Moderate-many","Suwanee",0
"206","NW_E-under5-High-many","Suwanee",1
"207","SE_W-under5-Low-many","Suwanee",0
"208","SE_W-under5-Moderate-many","Suwanee",0
"209","SE_W-under5-High-many","Suwanee",1
