"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","aspect","time_since","burnsev","count_v2","prop_area","area_ha","strata_nm","grove_name","grovearea_ha","unit_name","grove","Ease.of.Access","geometry"
"36","Site-178","Over","Next",-118.69338493385,36.4628306630787,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116938.637943188, -171879.972805024)
"37","Site-186","Over","Next",-118.685585671498,36.4693811454719,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117626.514698653, -171142.416263712)
"38","Site-004","Base","None",-118.91220799481,36.6550060182527,"None",138694.464133713,0.000007210093108,"None","NW_E","under5","Low","one",0.07,388.344499574397,"NW_E-under5-Low-one","Big Springs",12.0637808326991,"Sequoia and Kings Canyon National Parks","Big Springs","Moderate",c(97110.4448061959, -150770.758397713)
"39","Site-158","Over","Next",-118.731106262211,36.3594176532209,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Cedar Flat",32.0351880447071,"Sequoia and Kings Canyon National Parks","Cedar Flat","Easy",c(113716.688591959, -183417.174248479)
"40","Site-194","Over","Next",-118.733187851537,36.3584781337282,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Cedar Flat",32.0351880447071,"Sequoia and Kings Canyon National Parks","Cedar Flat","Easy",c(113531.54526633, -183524.06679737)
"41","Site-01","Base","None",-118.695545795684,36.2987825981885,"None",74067.8144542146,0.000013501140912,"None","NW_E","under5","High","one",0.01,22.2203443362644,"NW_E-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116996.081783817, -190111.463286234)
"42","Site-05","Over","Next",-118.698110996818,36.2995318484699,"None",74067.8144542146,0.000013501140912,"None","NW_E","under5","High","one",0.01,22.2203443362644,"NW_E-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116764.880907731, -190031.372953407)
"43","Site-09","Over","Next",-118.697356153405,36.2984422949357,"None",74067.8144542146,0.000013501140912,"None","NW_E","under5","High","one",0.01,22.2203443362644,"NW_E-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116834.241170557, -190151.508452648)
"44","Site-014","Base","None",-118.718178877755,36.3068839173242,"None",138694.464133713,0.000007210093108,"None","NW_E","under5","Low","one",0.07,388.344499574397,"NW_E-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(114954.081379268, -189238.970748283)
"45","Site-057","Over","Next",-118.696393095111,36.3017125199798,"None",138694.464133713,0.000007210093108,"None","NW_E","under5","Low","one",0.07,388.344499574397,"NW_E-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116915.615896166, -189786.950981197)
